,今年度受診者
0,111336
1,354525
2,6005
3,323206
4,47706
5,404394
6,404913
7,19296
8,23957
9,138784
10,3347
11,24438
12,3283
13,303360
14,409036
15,35161
16,3800
17,335749
18,40604
19,8685
20,316860
21,400943
22,9012541
23,21896
24,107474
25,301946
26,15542
27,405973
28,404264
29,3983
30,7442
31,361761
32,19113
33,5627
34,9007347
35,310959
36,10670
37,14406
38,5325
39,133272
40,24199
41,7882
42,37987
43,23229
44,19939
45,334642
46,3537
47,11637
48,402492
49,3108
50,47313
51,109934
52,354082
53,46102
54,7926
55,8100
56,9011695
57,307869
58,18595
59,18685
60,19231
61,39379
62,356571
63,18503
64,9008441
65,12416
66,301004
67,44780
68,12364
69,301119
70,6005771
71,23892
72,21990
73,3411
74,4771
75,120659
76,374056
77,403988
78,405957
79,26355
80,21920
81,403695
82,13022658
83,12278
84,23269
85,4180
86,13655
87,23329
88,6005441
89,4351
90,35268
91,37187
92,30622
93,21361
94,9012551
95,43284
96,46841
97,13972
98,6009642
99,410547
100,10406
101,21272
102,24983
103,361566
104,403116
105,347867
106,24051
107,30390
108,45636
109,21505
110,24885
111,1562
112,14498
113,人間ドック
114,340952
115,133348
116,8848
117,17936
118,41614
119,41156
120,5120928
121,127423
122,207969
123,37680
124,51184
125,15077
126,39797
127,406650
128,4776
129,13023158
130,12760
131,352486
132,18296
133,22068
134,8385
135,12728
136,7843
137,53349
138,40805
139,6865
140,42388
141,6044
142,15660
143,11684
144,1970
145,10993
146,13033200
147,21390
148,19814
149,400616
150,114157
151,35302
152,6070
153,38380
154,23872
155,39957
156,320941
157,6677
158,37161
159,22499
160,329233
161,22058
162,403583
163,347650
164,368561
165,7446
166,360677
167,35604
168,334654
169,45077
170,106724
171,100313
172,404380
173,6615
174,150888
175,9031
176,30509
177,5
178,9650
179,5787
180,28066
181,29227
182,5996
183,16602
184,9211
185,4564
186,30506
187,37146
188,48445
189,317334
190,44886
191,6607
192,25724
193,23333
194,6245
195,15157
196,2623
197,54528
198,9013343
199,364610
200,18331
201,374238
202,30601
203,40232
204,402031
205,7357
206,53957
207,7571
208,22313
209,340101
210,45234
211,23380
212,9123
213,10160
214,9007409
215,9727
216,21905
217,135665
218,14751
219,9112
220,5202098
221,6612
222,27336
223,29026
224,45372
225,27843
226,16284
227,3628
228,35172
229,24334
230,19301
231,325707
232,405324
233,22300
234,9023
235,733
236,406707
237,404469
238,313
239,103
240,16152
241,642
242,38423
243,30266
244,138255
245,346700
246,27312
247,14321
248,11175
249,30733
250,727
251,26274
252,37685
253,325768
254,14495
255,28630
256,111120
257,29041
258,9743
259,4959
260,12076
261,11651
262,21731
263,20129
264,15784
265,9075715
266,14862
267,342316
268,9012422
269,19599
270,14642
271,117994
272,301673
273,11219
274,10562
275,38284
276,51265
277,310583
278,11204
279,19912
280,28594
281,316548
282,42875
283,40935
284,43988
285,45745
286,120675
287,11244
288,9011731
289,16220
290,30640
291,333327
292,7187
293,3576
294,20472
295,18655
296,29164
297,100412
298,37252
299,9014082
300,1952
301,350015
302,106674
303,310418
304,403865
305,29154
306,23834
307,408854
308,112292
309,406763
310,338143
311,47011
312,9011414
313,23195
314,6000188
315,18432
316,27633
317,405202
318,408408
319,23439
320,405029
321,19103
322,343503
323,21005
324,22081
325,22901
326,27109
327,4169
328,3394
329,10639
330,303311
331,23930
332,3176
333,21512
334,351081
335,53740
336,24561
337,7678
338,6011961
339,24629
340,24426
341,38427
342,18813
343,2549
344,1761
345,21347
346,19249
347,2860
348,151340
349,11578
350,死亡者
351,7601
352,11641
353,9284
354,20835
355,146720
356,2529
357,53535
358,14361
359,20781
360,106781
361,113225
362,8183
363,41435
364,325240
365,52272
366,35605
367,2112
368,120733
369,13796
370,9011135
371,16480
372,5055
373,17501
374,15931
375,19392
376,2273
377,26785
378,28115
379,2100
380,24612
381,4080
382,22321
383,35385
384,13567
385,13021546
386,7165
387,407474
388,21063
389,340411
390,40622
391,24619
392,19916
393,6725
394,37589
395,3471
396,106484
397,5606
398,38058
399,401450
400,25993
401,21998
402,26081
403,52300
404,7133
405,2642
406,16190
407,407097
408,306660
409,309787
410,19213
411,11943
412,14431
413,7148
414,37024
415,21146
416,29034
417,45494
418,117671
419,29187
420,6147
421,331770
422,113316
423,22508
424,4354
425,352474
426,10070
427,104422
428,113407
429,346541
430,20735
431,27002
432,402407
433,4775
434,1320
435,466
436,407086
437,25509
438,22852
439,405127
440,38538
441,10356
442,12099
443,13330
444,325690
445,39309
446,135806
447,25370
448,21876
449,130369
450,37616
451,15287
452,364427
453,4748
454,6005329
455,344064
456,116582
457,27868
458,151134
459,23330
460,15342
461,2838
462,9011364
463,320667
464,15057
465,305861
466,39415
467,9012786
468,341634
469,26068
470,403318
471,17820
472,9008922
473,36437
474,13571
475,9010351
476,10720
477,39713
478,8111
479,1720
480,43200
481,36217
482,358786
483,347715
484,333261
485,2387
486,8053
487,24457
488,361323
489,23132
490,19929
491,10432
492,45246
493,22395
494,21828
495,3261
496,3126
497,37309
498,125542
499,27251
500,126508
501,37571
502,402532
503,38843
504,29192
505,27121
506,11260
507,14949
508,25381
509,18604
510,71
511,18870
512,3824
513,21422
514,119297
515,51378
516,11358
517,326566
518,30623
519,346772
520,37088
521,25028
522,17643
523,20395
524,23054
525,9781
526,13947
527,21418
528,140863
529,5896
530,16771
531,49964
532,9012117
533,202457
534,8952
535,406253
536,369954
537,347776
538,15813
539,38369
540,43858
541,25042
542,9011674
543,8386
544,24649
545,9007321
546,35106
547,25279
548,44294
549,8620
550,337011
551,337175
552,20898
553,24504
554,22498
555,149278
556,22287
557,6638
558,16042
559,13486
560,21776
561,4572
562,4127
563,38933
564,9055
565,23340
566,6000453
567,28836
568,15373
569,13016593
570,23537
571,18183
572,140624
573,7175
574,4570
575,402918
576,101220
577,4670
578,339810
579,16093
580,410147
581,4697
582,35113
583,334575
584,110577
585,18619
586,23935
587,148635
588,41863
589,417
590,406590
591,127092
592,361165
593,9060
594,44794
595,119479
596,344787
597,37417
598,36246
599,125633
600,360227
601,410313
602,358749
603,41530
604,24796
605,201673
606,132274
607,406651
608,13019509
609,54460
610,49449
611,20566
612,113662
613,30464
614,26127
615,9581
616,3910
617,35463
618,1057
619,15314
620,13024685
621,29982
622,35173
623,3917
624,17095
625,113514
626,17236
627,54036
628,6473
629,21321
630,356029
631,52677
632,37532
633,337187
634,404372
635,331100
636,323723
637,403800
638,137976
639,22340
640,14743
641,350404
642,18662
643,27216
644,121616
645,48702
646,21610
647,354033
648,410632
649,27963
650,43882
651,40457
652,17287
653,9010344
654,54746
655,15126
656,39912
657,5780
658,41956
659,160184
660,15681
661,26061
662,13608
663,326864
664,16669
665,14529
666,41625
667,8525
668,25426
669,27026
670,362297
671,23638
672,5118690
673,14846
674,54604
675,2641
676,101808
677,7134
678,5280
679,147678
680,16481
681,106930
682,18897
683,104646
684,20548
685,1609
686,1290
687,19797
688,18954
689,8763
690,141432
691,35805
692,16697
693,23469
694,24813
695,24924
696,26000
697,21829
698,19432
699,12468
700,15770
701,19653
702,407406
703,1245
704,29004
705,36369
706,404458
707,400590
708,100420
709,130302
710,26710
711,209056
712,22753
713,27983
714,28865
715,3894
716,331094
717,150805
718,12460
719,11706
720,2767
721,24735
722,19755
723,22876
724,27398
725,332116
726,374317
727,14368
728,319987
729,137745
730,410436
731,27331
732,18764
733,42612
734,36223
735,48499
736,401078
737,352905
738,35453
739,940
740,27845
741,24839
742,9165
743,16005
744,23992
745,9012766
746,13654
747,41858
748,13479
749,11019
750,326554
751,50979
752,407901
753,9532
754,694
755,42300
756,42938
757,104430
758,27326
759,5153
760,5953
761,1563
762,9011267
763,28614
764,356017
765,20451
766,49893
767,210641
768,20782
769,24797
770,1653
771,339342
772,400231
773,113563
774,国保資格喪失者
775,130021
776,35415
777,26602
778,21128
779,13099
780,5127
781,8048
782,37317
783,101790
784,17242
785,2044
786,14082
787,12719
788,19935
789,328861
790,130252
791,26112
792,37516
793,43924
794,20056
795,404867
796,18592
797,402094
798,24384
799,26089
800,21493
801,14827
802,373210
803,341725
804,20145
805,21246
806,24368
807,54214
808,18418
809,37581
810,406394
811,304080
812,340502
813,22694
814,6005185
815,7590
816,9256
817,404392
818,10525
819,16082
820,7525
821,311976
822,29462
823,347855
824,26026
825,9013430
826,3228
827,7836
828,5098
829,113910
830,28696
831,27676
832,45594
833,50926
834,12064
835,348379
836,35201
837,42877
838,44304
839,13770
840,46693
841,2246
842,20983
843,11840
844,303645
845,5470
846,15608
847,22138
848,207084
849,51753
850,340058
851,108142
852,44007
853,6836
854,22091
855,20894
856,35990
857,21634
858,18691
859,21022
860,15811
861,136697
862,16448
863,41755
864,13016585
865,24259
866,9061
867,19955
868,35131
869,303013
870,9007079
871,345901
872,145847
873,14598
874,10041
875,21385
876,19574
877,7960
878,316755
879,364178
880,401899
881,333996
882,144584
883,4988
884,9006651
885,330363
886,312660
887,987
888,114827
889,151373
890,28774
891,9015104
892,20854
893,402377
894,5581
895,336973
896,334472
897,7705
898,16885
899,24785
900,107128
901,21253
902,343746
903,14858
904,54065
905,12840
906,402345
907,402406
908,8326
909,304
910,324053
911,54190
912,8160
913,2580
914,350933
915,314874
916,35489
917,18287
918,405734
919,41872
920,2053
921,200139
922,912
923,38332
924,370348
925,36507
926,29345
927,45869
928,16698
929,13279
930,12297
931,436
932,405956
933,41651
934,20450
935,44706
936,5317
